Time,Tco,Tho
442.0,46.6984,73.756521
443.0,46.698382,73.728755
444.0,46.698364,73.701021
445.0,46.698345,73.673318
446.0,46.698326,73.645648
447.0,46.698307,73.618008
448.0,46.698288,73.590401
449.0,46.698269,73.562825
450.0,46.69825,73.53528
451.0,46.698231,73.507768
452.0,46.698212,73.480286
453.0,46.698194,73.452836
454.0,46.698176,73.425418
455.0,46.698159,73.398031
456.0,46.698143,73.370675
457.0,46.698127,73.34335
458.0,46.698113,73.316057
459.0,46.6981,73.288795
460.0,46.698088,73.261565
461.0,46.698077,73.234365
462.0,46.698068,73.207197
463.0,46.698062,73.180059
464.0,46.698057,73.152953
465.0,46.698054,73.125878
466.0,46.698054,73.098833
467.0,46.698057,73.07182
468.0,46.698063,73.044838
469.0,46.698072,73.017886
470.0,46.698084,72.990965
471.0,46.698091,72.964076
472.0,46.698067,72.937216
473.0,46.698042,72.910388
474.0,46.698017,72.88359
475.0,46.697992,72.856823
476.0,46.697966,72.830087
477.0,46.69794,72.803381
478.0,46.697914,72.776706
479.0,46.697887,72.750061
480.0,46.697861,72.723447
481.0,46.697834,72.696864
482.0,46.697807,72.67031
483.0,46.69778,72.643787
484.0,46.697754,72.617295
485.0,46.697728,72.590833
486.0,46.697702,72.564401
487.0,46.697676,72.537999
488.0,46.697652,72.511628
489.0,46.697628,72.485286
490.0,46.697604,72.458975
491.0,46.697582,72.432694
492.0,46.69756,72.406443
493.0,46.69754,72.380222
494.0,46.697522,72.354031
495.0,46.697504,72.32787
496.0,46.697489,72.301739
497.0,46.697475,72.275638
498.0,46.697463,72.249567
499.0,46.697454,72.223525
500.0,46.697447,72.197514
501.0,46.697442,72.171532
502.0,46.69744,72.14558
503.0,46.697441,72.119657
504.0,46.697446,72.093765
505.0,46.697453,72.067901
506.0,46.697465,72.042068
507.0,46.69748,72.016264
508.0,46.6975,71.990489
509.0,46.697524,71.964744
510.0,46.697552,71.939029
511.0,46.69758,71.913343
512.0,46.697585,71.887686
513.0,46.697592,71.862059
514.0,46.697599,71.836461
515.0,46.697608,71.810892
516.0,46.697618,71.785353
517.0,46.697628,71.759842
518.0,46.69764,71.734361
519.0,46.697653,71.708909
520.0,46.697667,71.683487
521.0,46.697681,71.658093
522.0,46.697697,71.632728
523.0,46.697713,71.607393
524.0,46.69773,71.582086
525.0,46.697748,71.556808
526.0,46.697766,71.531559
527.0,46.697785,71.50634
528.0,46.697805,71.481149
529.0,46.697825,71.455986
530.0,46.697845,71.430853
531.0,46.697866,71.405748
532.0,46.697887,71.380672
533.0,46.697908,71.355625
534.0,46.697929,71.330607
535.0,46.69795,71.305617
536.0,46.697971,71.280655
537.0,46.697992,71.255722
538.0,46.698012,71.230818
539.0,46.698032,71.205942
540.0,46.698051,71.181095
541.0,46.698076,71.156276
542.0,46.698103,71.131485
543.0,46.69813,71.106723
544.0,46.698157,71.081989
545.0,46.698184,71.057284
546.0,46.698212,71.032607
547.0,46.698239,71.007958
548.0,46.698266,70.983337
549.0,46.698293,70.958744
550.0,46.698319,70.93418
551.0,46.698346,70.909643
552.0,46.698371,70.885135
